id,id_index,kode_provinsi,nama_provinsi,periode_update,kab_kota,nama_ruas_jalan,kategori,jumlah,satuan,tahun
438,4376,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. KEDIRI - SRENGAT,LEBAR BAHU KIRI MEMENUHI,7.71,KM,2025
438,4377,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. KEDIRI - SRENGAT,LEBAR BAHU KIRI TIDAK MEMENUHI,0.4,KM,2025
438,4378,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. KEDIRI - SRENGAT,LEBAR JALAN MEMENUHI,2.61,KM,2025
438,4379,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. KEDIRI - SRENGAT,LEBAR JALAN TIDAK MEMENUHI,5.5,KM,2025
438,4380,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. KEDIRI - SRENGAT,PANJANG JALAN,8.11,KM,2025
439,4381,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. TULUNGAGUNG - SRENGAT,BANGUNAN PELENGKAP,0.0,KM,2025
439,4382,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. TULUNGAGUNG - SRENGAT,KELANDAIAN MEMENUHI,0.0,KM,2025
439,4383,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. TULUNGAGUNG - SRENGAT,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
439,4384,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. TULUNGAGUNG - SRENGAT,LEBAR BAHU KANAN MEMENUHI,10.21,KM,2025
439,4385,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. TULUNGAGUNG - SRENGAT,LEBAR BAHU KANAN TIDAK MEMENUHI,0.0,KM,2025
439,4386,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. TULUNGAGUNG - SRENGAT,LEBAR BAHU KIRI MEMENUHI,10.21,KM,2025
439,4387,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. TULUNGAGUNG - SRENGAT,LEBAR BAHU KIRI TIDAK MEMENUHI,0.0,KM,2025
439,4388,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. TULUNGAGUNG - SRENGAT,LEBAR JALAN MEMENUHI,0.0,KM,2025
439,4389,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. TULUNGAGUNG - SRENGAT,LEBAR JALAN TIDAK MEMENUHI,10.21,KM,2025
439,4390,35,JAWA TIMUR,2025,KABUPATEN BLITAR,BTS. KAB. TULUNGAGUNG - SRENGAT,PANJANG JALAN,10.21,KM,2025
440,4391,35,JAWA TIMUR,2025,KABUPATEN BLITAR,SRENGAT - BTS. KOTA BLITAR,BANGUNAN PELENGKAP,0.0,KM,2025
440,4392,35,JAWA TIMUR,2025,KABUPATEN BLITAR,SRENGAT - BTS. KOTA BLITAR,KELANDAIAN MEMENUHI,0.0,KM,2025
440,4393,35,JAWA TIMUR,2025,KABUPATEN BLITAR,SRENGAT - BTS. KOTA BLITAR,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
440,4394,35,JAWA TIMUR,2025,KABUPATEN BLITAR,SRENGAT - BTS. KOTA BLITAR,LEBAR BAHU KANAN MEMENUHI,10.44,KM,2025
440,4395,35,JAWA TIMUR,2025,KABUPATEN BLITAR,SRENGAT - BTS. KOTA BLITAR,LEBAR BAHU KANAN TIDAK MEMENUHI,0.0,KM,2025
440,4396,35,JAWA TIMUR,2025,KABUPATEN BLITAR,SRENGAT - BTS. KOTA BLITAR,LEBAR BAHU KIRI MEMENUHI,10.44,KM,2025
440,4397,35,JAWA TIMUR,2025,KABUPATEN BLITAR,SRENGAT - BTS. KOTA BLITAR,LEBAR BAHU KIRI TIDAK MEMENUHI,0.0,KM,2025
440,4398,35,JAWA TIMUR,2025,KABUPATEN BLITAR,SRENGAT - BTS. KOTA BLITAR,LEBAR JALAN MEMENUHI,2.74,KM,2025
440,4399,35,JAWA TIMUR,2025,KABUPATEN BLITAR,SRENGAT - BTS. KOTA BLITAR,LEBAR JALAN TIDAK MEMENUHI,7.7,KM,2025
440,4400,35,JAWA TIMUR,2025,KABUPATEN BLITAR,SRENGAT - BTS. KOTA BLITAR,PANJANG JALAN,10.44,KM,2025
441,4401,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KAB. NGANJUK - BTS. KOTA KEDIRI,BANGUNAN PELENGKAP,0.0,KM,2025
441,4402,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KAB. NGANJUK - BTS. KOTA KEDIRI,KELANDAIAN MEMENUHI,0.0,KM,2025
441,4403,35,JAWA TIMUR,2025,KABUPATEN KEDIRI,BTS. KAB. NGANJUK - BTS. KOTA KEDIRI,KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
